Country;ID;qual;year;pop;fert;birth;mort;N=workforce;dN;K;c;v;s;gdp;delta;gamma;alpha;r;requil;s/v;K/v
Belgium;BEL;1965;A;9448000;2.613;0.0165;0.012199999999999999;3779772;0.004560592543677237;203725718821;20605442791;5.83614995449038E10;4.20647862930962E10;121031728629;0.10;0.05;0.80;0.21;0.19;0.72;3.49
Belgium;BEL;1966;A;9508000;2.53;0.0159;0.012199999999999999;3797010;0.001644188453546343;216860014155;21639219107;6.1568220844494E10;4.2084014758506E10;125291454710;0.10;0.04;0.80;0.19;0.18;0.68;3.52
Belgium;BEL;1967;A;9557000;2.42;0.015300000000000001;0.0121;3803253;0.002952472528122636;229015503845;22850812694;6.3756753310459305E10;4.3322642494540695E10;129930208499;0.10;0.04;0.78;0.19;0.18;0.68;3.59
Belgium;BEL;1968;A;9590000;2.313;0.0148;0.0127;3814482;0.010003717411695742;239809735834;24433772902;6.59350749349138E10;4.49380984690862E10;135306946306;0.10;0.04;0.84;0.19;0.18;0.68;3.64
Belgium;BEL;1969;A;9613000;2.245;0.0148;0.0125;3852641;-0.023508289508417733;253285590043;25330013077;7.02737088349293E10;4.8725111185070694E10;144328833097;0.10;0.04;0.82;0.19;0.14;0.69;3.60
Belgium;BEL;1970;A;9638000;2.2;0.0148;0.0123;3762072;0.008151890766577567;267885124533;27278349069;7.48680431072094E10;5.10519771857906E10;153198369362;0.10;0.05;0.78;0.19;0.20;0.68;3.58
Belgium;BEL;1971;A;9673000;2.208;0.0146;0.0124;3792740;0.0027608008985588258;280571801877;28326995904;8.06307494920704E10;4.9514639611929596E10;158472385008;0.10;0.05;0.83;0.18;0.18;0.61;3.48
Belgium;BEL;1972;A;9709000;2.09;0.014;0.0121;3803211;0.009328959134794257;293240574623;28306633085;8.66550476304315E10;5.13308689495685E10;166292549665;0.10;0.05;0.85;0.18;0.18;0.59;3.38
Belgium;BEL;1973;A;9738000;1.95;0.013300000000000001;0.0121;3838691;0.016011968663276102;308802427739;30273376001;9.38247764940882E10;5.3533003305911804E10;177631155801;0.10;0.05;0.91;0.17;0.18;0.57;3.29
Belgium;BEL;1974;A;9768000;1.83;0.0127;0.0119;3900156;0.005764128409222606;327179222461;32202860209;1.008437879526039E11;5.27720139953961E10;185818662157;0.10;0.05;0.79;0.16;0.19;0.52;3.24
Belgium;BEL;1975;A;9795000;1.736;0.012199999999999999;0.012199999999999999;3922637;0.009291453682815922;336603072722;34365778727;1.025263145439197E11;4.531212664008031E10;182204219911;0.10;0.03;1.02;0.13;0.13;0.44;3.28
Belgium;BEL;1976;A;9811000;1.725;0.0123;0.0121;3959084;0.0044078377725756766;348490138024;35544084424;1.095750786305439E11;4.75572544424561E10;192676417497;0.10;0.03;0.98;0.14;0.14;0.43;3.18
Belgium;BEL;1977;A;9822000;1.705;0.0124;0.0115;3976535;0.006905257969563955;359787249341;36484262445;1.1147733809208261E11;4.655478070891739E10;194516381246;0.10;0.02;0.99;0.13;0.13;0.42;3.23
Belgium;BEL;1978;A;9830000;1.691;0.0125;0.011699999999999999;4003994;0.011838429328315676;369508574805;39146551226;1.1502352206072539E11;4.625425509927461E10;200424328386;0.11;0.02;1.04;0.13;0.13;0.40;3.21
Belgium;BEL;1979;A;9837000;1.689;0.0126;0.0114;4051395;0.0033242870665536194;378491447227;40027876698;1.176478886736081E11;4.775096533139191E10;205426730703;0.11;0.01;1.15;0.13;0.11;0.41;3.22
Belgium;BEL;1980;A;9847000;1.672;0.0126;0.0115;4064863;0.006495667873677415;393262455240;41742687478;1.2464023505643239E11;4.818109030156761E10;214564012836;0.11;0.03;0.94;0.12;0.15;0.39;3.16
Belgium;BEL;1981;A;9852000;1.67;0.0126;0.0114;4091267;0.007023007787074273;396806946504;42534431194;1.25412976719655E11;4.2265426011345E10;210212833925;0.11;0.01;1.00;0.11;0.12;0.34;3.16
Belgium;BEL;1982;A;9856000;1.614;0.012199999999999999;0.0114;4120000;0.004368932038834952;396651169960;42740890213;1.2248867715969081E11;4.584862866330919E10;211078196036;0.11;0.01;0.80;0.12;0.15;0.37;3.24
Belgium;BEL;1983;A;9856000;1.56;0.0119;0.0116;4138000;-0.0014572257129047848;390775245974;43707068339;1.2064468940627939E11;4.586725150072061E10;210219009246;0.11;0.00;0.91;0.12;0.12;0.38;3.24
